Date,ph,hardness,solids,conductivity,organic_carbon,turbidity,Potability
01-10-2023 20:39,,204.8904555,20791.31898,564.3086542,10.37978308,2.963135381,0
01-10-2023 20:32,3.716080075,129.4229205,18630.05786,592.8853591,15.18001312,4.500656275,0
01-10-2023 20:32,8.099124189,224.2362594,19909.54173,418.6062131,16.86863693,3.05593375,0
01-10-2023 20:31,8.316765884,214.3733941,22018.41744,363.2665162,18.4365245,4.628770537,0
01-10-2023 20:31,9.092223456,181.1015092,17978.98634,398.4108134,11.55827944,4.075075425,0
01-10-2023 20:30,5.584086638,188.3133238,28748.68774,280.4679159,8.39973464,2.559708228,0
01-10-2023 19:20,10.22386216,248.0717353,28749.71654,283.6516335,13.78969532,2.672988737,0
01-10-2023 19:20,8.635848719,203.3615226,13672.09176,474.6076449,12.3638167,4.401424715,0
01-10-2023 19:20,,118.9885791,14285.58385,389.3755659,12.70604897,3.595017181,0
19-10-2023 14:00,11.18028447,227.2314692,25484.50849,563.8854815,17.92780641,4.370561937,0
19-10-2023 13:00,7.360640106,165.5207973,32452.61441,425.3834195,15.58681044,3.662291783,0
19-10-2023 12:00,7.974521649,218.6933005,18767.65668,364.0982305,14.5257457,4.011718108,0
19-10-2023 11:00,7.119824384,156.7049933,18730.81365,347.7150273,15.92953591,3.445756223,0
19-10-2023 10:00,,150.1749234,27331.36196,379.7618348,19.37080718,4.413974183,0
19-10-2023 09:00,7.496232208,205.3449822,28388.00489,444.6453523,13.2283111,4.777382337,0
19-10-2023 08:00,6.347271761,186.7328807,41065.23476,516.7432819,11.53978119,4.376348291,0
19-10-2023 07:00,7.0517858,211.0494061,30980.60079,315.1412672,20.39702184,4.268428858,0
19-10-2023 06:00,9.181560007,273.8138067,24041.32628,477.9746419,13.38734078,4.503660796,0
19-10-2023 05:00,8.975464348,279.3571668,19460.39813,431.44399,12.88875905,2.43608559,0
19-10-2023 04:00,7.371050302,214.4966105,25630.32004,469.9145515,12.50916394,2.560299148,0
19-10-2023 03:00,,227.4350484,22305.56741,554.8200865,16.33169328,4.133422644,0
19-10-2023 02:00,6.660212026,168.2837469,30944.36359,523.6712975,17.88423519,3.749701241,0
19-10-2023 01:00,,215.9778587,17107.22423,436.256194,14.18906221,5.459250956,0
18-10-2023 23:00,3.902475686,196.9032467,21167.5001,444.4788825,16.60903316,4.528522696,0
18-10-2023 22:00,5.400301781,140.7390623,17266.59342,472.8740733,11.25638117,4.82478639,0
18-10-2023 21:00,6.514415093,198.7673513,21218.70287,413.2904501,14.89999957,5.200885077,0
18-10-2023 20:00,3.445061864,207.9262602,33424.76868,441.7858757,13.80590221,4.184396969,0
18-10-2023 19:00,,145.7681806,13224.93564,298.9906665,12.72952472,4.004871128,0
18-10-2023 18:00,,266.4210181,26362.96501,364.4801067,10.34895076,3.991564248,0
18-10-2023 17:00,,148.1530614,15193.41347,563.8047433,16.56865557,6.038184953,0
18-10-2023 16:00,7.181448581,209.6256005,15196.22999,342.1112863,7.922598333,5.088859989,0
18-10-2023 15:00,9.825489908,190.7566183,19677.89247,452.8362349,16.8990378,2.857472426,0
18-10-2023 14:00,10.43329098,117.7912296,22326.89205,412.9868338,12.89070856,5.057310517,0
18-10-2023 13:00,7.414148196,235.0445345,32555.85254,411.9833642,10.24481507,3.160624468,0
18-10-2023 12:00,,232.280452,14787.20626,383.981723,12.16693715,5.029166724,0
18-10-2023 11:00,5.115817064,191.952743,19620.54533,441.7483793,10.96648615,3.902088768,0
18-10-2023 10:00,3.641629777,183.9087223,24752.07246,456.8600959,9.034066753,3.464353035,0
18-10-2023 09:00,5.618064406,304.2359121,17281.97517,399.4715663,12.26500158,2.896546941,0
